commit	primary_metric	id_move_acc	id_solve_rate	mean_residual	num_steps	status	description
wd01	0.042969	0.488741	0.042969	11.12	5883	discard	WEIGHT_DECAY=0.1 — regularization hurts
valsrch	0.003906	0.606756	0.003906	13.18	5044	discard	value-guided search (poorly trained value head made search worse)
valaux	0.113281	0.570892	0.113281	9.54	4879	keep	value head as auxiliary loss + DAgger + residual search (29/256)
vblend	0.074219	0.590075	0.074219	11.61	4945	discard	blended value+residual search — value head not trained enough
dag3s	0.113281	0.598415	0.113281	10.11	5175	keep	3-step correction DAgger paths (8976 examples) — same as single-step
vprim	-	-	-	-	5592	crash	value-primary (1.0) + value-guided search — eval took >1.5h, killed
vprimr	0.050781	0.531693	0.050781	11.04	5914	discard	value-primary loss (0.2CE+1.0MSE) + residual search — policy degraded
mlpsrch	-	-	-	-	5164	crash	fast MLP value search — MPS per-call overhead still too slow (54min eval), killed
best	0.160156	0.625521	0.160156	8.97	5196	keep	BEST: DAgger + aux value head + MLP trained + residual search (41/256)
dag06	0.125000	0.607173	0.125000	9.68	4693	discard	DAGGER_TRIGGER_FRAC=0.6 — within variance, not clearly better
noval	0.035156	0.559633	0.035156	10.45	5134	discard	ABLATION: no value loss — 9/256, confirms value head helps (3.5x worse)
val08	0.074219	0.583820	0.074219	9.75	5103	discard	value weight 0.8 — too high, 19/256 (sweet spot is 0.5)
dag300	0.093750	0.585071	0.093750	9.35	4824	discard	DAGGER_NUM_EPISODES=300 — 24/256, more DAgger data dilutes training
lr10	0.160156	0.629691	0.160156	8.21	5004	keep	MATRIX_LR=0.10 — 41/256, ties best! mean_res=8.21 (best ever)
rs100	0.218750	0.613845	0.218750	7.80	4158	keep	BEST: ROLLOUT_MIN_STEPS=100 — 56/256 solved! model needed more eval steps
rs150	0.167969	0.579233	0.167969	8.50	4983	discard	ROLLOUT_MIN_STEPS=150 — 43/256, no gain over 100 (training variance)
rd1	0.000000	0.594662	0.000000	10.23	4599	discard	SEARCH_RESIDUAL_DELTA=1 — 0/256! too restrictive, blocks sacrifice moves
rd3	0.160156	0.574229	0.160156	9.21	4555	discard	SEARCH_RESIDUAL_DELTA=3 — 41/256, too permissive (delta=2 is sweet spot)
tk5	0.191406	0.618849	0.191406	8.38	4806	discard	SEARCH_LOOKAHEAD_TOP_K=5 — 49/256, no clear gain over K=3
ep6k	0.179688	0.605505	0.179688	8.21	4382	discard	TRAIN_EPISODES=6144 — 46/256, fewer epochs hurt despite more diversity
t1200	0.175781	0.605922	0.175781	8.72	17401	discard	TIME_BUDGET=1200 (20min) — 45/256, overfitted same data (loss=0.27 but no generalization gain)
t1200e8k	0.402344	0.679733	0.402344	5.95	19660	keep	BEST: TIME_BUDGET=1200 + 8192 episodes — 103/256 solved (40.2%)! more data+time wins
